,name,specilities,affiliation
4137,"Kenneth Marc Kaye, MD",Infectious Diseases,Brigham and Women's Hospital
4138,"Meera Grover, MD",Anesthesiology,Brigham and Women's Hospital
4139,"John Ju-Hon Yeh, MD",Obstetrics & Gynecology,Massachusetts General Hospital
4140,"Michael F Mastromatteo, MD","Diagnostic Radiology, Vascular Interventional Radiology",North Shore Medical CenterPCPO - Pentucket Medical Associates
4141,"Laura R. Benzaquen, MD",Cardiology,Brigham and Women's HospitalMassachusetts General Hospital
4142,"Sarathchandra Ithamukkala Reddy, MD",Gastroenterology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4143,"R. Malcolm Smith, MD","Orthopedic Surgery, Orthopedic Trauma Surgery",Massachusetts General Hospital
4144,"Kathleen J Welch, MD, MPH",Anesthesiology,Brigham and Women's Hospital
4145,"Eric P. Wehrenberg-Klee, MD",Diagnostic Radiology,Massachusetts General Hospital
4146,"Rebecca R. Saff, MD, PhD",Allergy and Immunology,Massachusetts General Hospital
4147,"Matthew G. Nayor, MD",Cardiology,Massachusetts General Hospital
4148,"Eric L Putnoi, MD",Ophthalmology,Newton-Wellesley Hospital
4149,"Rushika J. Fernandopulle, MD",Internal Medicine,Massachusetts General Hospital
4150,"Abner Louissaint, MD, PhD","Anatomic Pathology, Clinical and Laboratory Pathology",Massachusetts General Hospital
4151,"Christopher P Giuliano, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
4152,"Veena Shankar, MD",Cardiology,PCPO - Charles River Medical Associates
4153,"Daniel N Johnson, MD","Anatomic Pathology, Clinical and Laboratory Pathology",Brigham and Women's Hospital
4154,"Daniel Ira Rosenthal, MD",Diagnostic Radiology,Massachusetts General Hospital
4155,"David Mayer, MD",Anesthesiology,Cooley Dickinson Hospital
4156,"Henry A D'Angelo, MD",Family Medicine,Newton-Wellesley Hospital
4157,"Evan D Finkelstein, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
4158,"Victoria Mackenzie Martin, MD",Pediatric Gastroenterology,Massachusetts General Hospital
4159,"Akshay Suvas Desai, MD, MPH",Cardiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4160,"Julia Y McNabb-Baltar, MD, MPH","Gastroenterology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4161,"Pamela K Weinfeld, MD",Dermatology,Newton-Wellesley Hospital
4162,"David William Rattner, MD",General Surgery,Massachusetts General Hospital
4163,"Donald N Di Salvo, MD",Diagnostic Radiology,Brigham and Women's Hospital
4164,"Ping M. Jin, MD, PhD",Pain Medicine,Massachusetts General Hospital
4165,"Florian J. Fintelmann, MD",Diagnostic Radiology,Massachusetts General Hospital
4166,"Jeffrey S. Schweitzer, MD, PhD",Neurosurgery,Massachusetts General Hospital
4167,"Syed H Mirzan, MD",Diagnostic Radiology,Massachusetts General Hospital
4168,"Molly E Clark, MD",Obstetrics & Gynecology,Newton-Wellesley Hospital
4169,"Brandon M Minzer, MD",Critical Care Medicine,Massachusetts General Hospital
4170,"Sara Oakes Vargas, MD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's Hospital
4171,"Dunia E Abdul-Aziz, MD",Otolaryngology,Massachusetts General Hospital
4172,"Adrian Brandon Zen Jey Jonan, MD",Anesthesiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4173,"Adam S Tenforde, MD",Physical Medicine and Rehab,Brigham and Women's HospitalMassachusetts General HospitalSpaulding Rehabilitation Network
4174,"Anas S Wardeh, MD",Pulmonary Critical Care,PCPO - Emerson Physician Hospital Organization
4175,"Jacob H Johnson, MD",Infectious Diseases,Massachusetts General Hospital
4176,"Jyothi Priya P Jagannathan, MD",Diagnostic Radiology,Brigham and Women's Hospital
4177,"Madhusmita Misra, MD, MPH",Pediatric Endocrinology,Massachusetts General Hospital
4178,"Michelle Tang Day, MD",Pediatrics,Massachusetts General Hospital
4179,"Erick J Velez, MD",Anesthesiology,Brigham and Women's Hospital
4180,"Sharmin Ghaznavi, MD, PhD",Psychiatry,Massachusetts General Hospital
4181,"Idriss El Koussaimi, MD",Internal Medicine,PCPO - Charles River Medical Associates
4182,"Eva M Volf, MD",Dermatology,North Shore Medical Center
4183,"Joseph Vincent Bonventre, MD, PhD","Internal Medicine, Nephrology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4184,"Oleg V. Evgenov, MD, PhD","Anesthesiology, Critical Care Medicine",Massachusetts General Hospital
4185,"Neil Wagle, MD, MBA",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4186,"Kiana Kashef, MD","Anesthesiology, Pain Medicine",Massachusetts General Hospital
4187,"Eric Carpentier, MD, MBA",Hospital Medicine,Massachusetts General Hospital
4188,"David L. Perez, MD",Psychiatry,Massachusetts General Hospital
4189,"Charles A. Kelly, MD",Critical Care Medicine,Massachusetts General Hospital
4190,"Maria K Houtchens, MD",Neurology,Brigham and Women's Hospital
4191,"Whitfield B Growdon, MD",Gynecologic Oncology,Massachusetts General HospitalNorth Shore Medical Center
4192,"Adam J Zucker, MD","Cardiology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4193,"Ann M. Bajart, MD","Ophthalmology:, Cornea and External Disease",Massachusetts General Hospital
4194,"Harald W. Jueppner, MD",Pediatric Nephrology,Massachusetts General Hospital
4195,"Mark V Yakavonis, MD",Orthopedic Surgery,Massachusetts General Hospital
4196,"Michael E. Aronoff, MD",Infectious Diseases,Massachusetts General Hospital
4197,"Pallavi Sagar, MD","Diagnostic Radiology, Internal Medicine",Massachusetts General Hospital
4198,"Krishna Venkata Gaddipati, MD",Ophthalmology,North Shore Medical Center
4199,"Parisa Kaboli, MD",Internal Medicine,Brigham and Women's Hospital
4200,"Elizabeth J Quinn, MD",Family Medicine,North Shore Medical Center
4201,"Samir Mahesh Bhatt, MD",Otolaryngology,Massachusetts General Hospital
4202,"Andrew W. Zimmerman, MD",Pediatric Neurology,Massachusetts General Hospital
4203,"Jessica R Schoonmaker, MD",Internal Medicine,PCPO - Pentucket Medical Associates
4204,"Gamaliel D Garcia, MD",Internal Medicine,PCPO - Charles River Medical Associates
4205,"Denise M. Kearney, MD",Allergy and Immunology,Cooley Dickinson Hospital
4206,"Jason I. Comander, MD, PhD","Ophthalmology:, Vitreoretinal Diseases",Massachusetts General Hospital
4207,"Mark A Moschella, MD",Anesthesiology,PCPO - Emerson Physician Hospital Organization
4208,"Geoffrey S Young, MD","Diagnostic Radiology, Neuroradiology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4209,"Thomas Frederick McElrath, MD, PhD",Maternal and Fetal Medicine,Brigham and Women's Hospital
4210,"Mark N Kaplan, MD",Obstetrics & Gynecology,Massachusetts General Hospital
4211,"Caroline R Baumal, MD","Ophthalmology:, Vitreoretinal Diseases",Newton-Wellesley Hospital
4212,"Thomas M. Gudewicz, MD",Pathology,Massachusetts General Hospital
4213,"Heather E Tarrant, MD",Emergency Medicine,Brigham and Women's Hospital
4214,"Gary J. Russell, MD",Pediatric Gastroenterology,Massachusetts General Hospital
4215,"Michelle S Hirsch, MD, PhD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's Hospital
4216,"Amy E Boutwell, MD",Internal Medicine,Newton-Wellesley Hospital
4217,"Nadine E Palermo, DO","Endocrinology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4218,"Justin F. Gainor, MD","Hematology, Medical Oncology",Massachusetts General Hospital
4219,"David Y Takeda, MD, PhD",Medical Oncology,Brigham and Women's Hospital
4220,"Katharine E. Morley, MD, MPH",Internal Medicine,Massachusetts General Hospital
4221,"Michael Andrew Jenike, MD",Psychiatry,Massachusetts General Hospital
4222,"Paul G Mathew, MD",Neurology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4223,"Clemens Rudolf Scherzer, MD",Neurology,Brigham and Women's HospitalMassachusetts General Hospital
4224,"Alexandra J Golby, MD",Neurosurgery,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4225,"Peter R Chai, MD",Emergency Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4226,"Robert Coleman Lindsley, MD, PhD",Medical Oncology,Brigham and Women's Hospital
4227,"Heidi Katz-Dubois, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
4228,"Elizabeth A Dougherty, MD","Internal Medicine, Pediatrics",North Shore Medical Center
4229,"Sonia Friedman, MD",Gastroenterology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4230,"Deon Wolpowitz, MD",Dermatology,Newton-Wellesley Hospital
4231,"Matthias Bernard Donelan, MD","Plastic Surgery, Reconstructive Plastic Surgery",Massachusetts General Hospital
4232,"Sara J Lee, MD","Pain Medicine, Physical Medicine and Rehab",North Shore Medical Center
4233,"Dirk M Hentschel, MD",Nephrology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4234,"Alicia A Czarnecki, MD",Family Medicine,Newton-Wellesley Hospital
4235,"Jonathan M. Fallon, DO",Orthopedic Sports Medicine,Cooley Dickinson Hospital
4236,"Melin J. Khandekar, MD, PhD",Radiation Oncology,Massachusetts General Hospital
4237,"Ignacio Inglessis-Azuaje, MD",Interventional Cardiology,Massachusetts General Hospital
4238,"Joanna M Sentissi, MD","General Surgery, Vascular Surgery",Newton-Wellesley Hospital
4239,"Thomas Buckley, MD",Emergency Medicine,PCPO - Emerson Physician Hospital Organization
4240,"Elisabeth M Battinelli, MD, PhD","Hematology, Medical Oncology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4241,"Yoona R Kim, MD",Hospital Medicine,North Shore Medical Center
4242,"Suzanne B. Coopey, MD",General Surgery,Massachusetts General Hospital
4243,"Gearoid M McMahon, MB","Internal Medicine, Nephrology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4244,"Dorothy A. Sippo, MD",Diagnostic Radiology,Massachusetts General Hospital
4245,"Luigino Nascimben, MD, PhD",Anesthesiology,Brigham and Women's Hospital
4246,"Michael J Murphy, MD",Psychiatry,Newton-Wellesley Hospital
4247,"Jill K Lanahan, MD",Anesthesiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4248,"Vera Tatana Fajtova, MD",Endocrinology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4249,"Andrew J Eyre, MD",Emergency Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4250,"Benjamin P. Geisler, MD",Hospital Medicine,Massachusetts General Hospital
4251,"Suha J Patel, MD",Obstetrics & Gynecology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4252,"Lydia C Siegel, MD, MPH",Internal Medicine,North Shore Medical Center
4253,"Jessica A. Zeidman, MD",Internal Medicine,Massachusetts General Hospital
4254,"Steven C. Schlozman, MD","Psychiatry:, Child and Adolescent Psychiatry",Massachusetts General Hospital
4255,"Jeffrey Edward Katz, MD",Obstetrics & Gynecology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4256,"Ann D Kailath, MD",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4257,"Winston Y Lee, MD, PhD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's Hospital
4258,"Rebecca Ann Osgood, MD","Anatomic Pathology, Clinical and Laboratory Pathology",Massachusetts General Hospital
4259,"Paul Michael Copeland, MD",Endocrinology,Massachusetts General HospitalNorth Shore Medical Center
4260,"Kenneth Alan Freedberg, MD",Infectious Diseases,Massachusetts General Hospital
4261,"William D Powlis, MD","Diagnostic Radiology, Radiation Oncology",Brigham and Women's Hospital
4262,"Deepa L Ratwani, DO",Internal Medicine,PCPO - Milford Regional Physician Group
4263,"Kenya Hanspard, MD",Internal Medicine,PCPO - Emerson Physician Hospital Organization
4264,"Theo Clyde Manschreck, MD",Psychiatry,Massachusetts General Hospital
4265,"Antonia Elizabeth Stephen, MD","General Surgery, Surgical Oncology",Massachusetts General Hospital
4266,"Aleksandar Videnovic, MD",Neurology,Massachusetts General Hospital
4267,"Jennifer E Soun, MD",Diagnostic Radiology,Massachusetts General Hospital
4268,"Charles Allen Boucher, MD",Cardiology,Massachusetts General Hospital
4269,"John Joseph McGrath, MD",Radiation Oncology,Massachusetts General Hospital
4270,"Matthew M Heeney, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
4271,"U Prakash Rau, MD","Gastroenterology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4272,"Michael J Doyle, MD",Emergency Medicine,PCPO - Emerson Physician Hospital Organization
4273,"Christine Eng, MD",Physical Medicine and Rehab,Massachusetts General HospitalSpaulding Rehabilitation Network
4274,"Lawrence R. Zukerberg, MD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Massachusetts General Hospital
4275,"Tatiana N Scott, MD",Internal Medicine,PCPO - Pentucket Medical Associates
4276,"Yongli Ji, MD, PhD","Hematology, Medical Oncology",Massachusetts General Hospital
4277,"Sebastian H. Unizony, MD",Rheumatology,Massachusetts General Hospital
4278,"Christine Edry Seidman, MD",Cardiology,Brigham and Women's Hospital
4279,"Adolph Matthew Hutter, MD",Cardiology,Massachusetts General Hospital
4280,"Nisreen S Maari, MD",Neonatology,Brigham and Women's Hospital
4281,"Susan Y Ritter, MD, PhD",Rheumatology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4282,"Alexander F Arriaga, MD, MPH, ScD",Anesthesiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4283,"Jeffrey A Evans, MD",Emergency Medicine,Newton-Wellesley Hospital
4284,"Kelly J Gardner, MD",Pediatrics,Massachusetts General Hospital
4285,"Paul M Ridker, MD",Cardiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4286,"Michael J. Whalen, MD","Critical Care Medicine, Pediatric Critical Care Medicine",Massachusetts General Hospital
4287,"James T. Lloyd, MD",Anesthesiology,Massachusetts General Hospital
4288,"Shaji Habeebulla, MD",Internal Medicine,North Shore Medical Center
4289,"David C. Christiani, MD",Occupational-Environmental Medicine,Massachusetts General Hospital
4290,"Stephen M Tourjee, MD",Psychiatry,Newton-Wellesley Hospital
4291,"Ruth L Torres, MD",Anesthesiology,PCPO - Emerson Physician Hospital Organization
4292,"Catherine S Giess, MD",Diagnostic Radiology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4293,"H. Shaw Warren, MD",Infectious Diseases,Massachusetts General Hospital
4294,"Erin E Stevens, DO","Geriatric Medicine, Hospice and Palliative Care",Massachusetts General Hospital
4295,"Peter Tebet Greenspan, MD",Pediatrics,Massachusetts General Hospital
4296,"William C Liaw, MD",Internal Medicine,Newton-Wellesley Hospital
4297,"Elizabeth M Petersen, MD","Internal Medicine, Pediatrics",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4298,"Bradley R. Buchbinder, MD","Diagnostic Radiology, Internal Medicine",Massachusetts General Hospital
4299,"John F Murphy, MD","Cardiology, Internal Medicine",Brigham and Women's Hospital
4300,"Scott M. McGinnis, MD",Neurology,Brigham and Women's HospitalMassachusetts General Hospital
4301,"William Robert Welch, MD","Anatomic Pathology, Clinical and Laboratory Pathology",Brigham and Women's Hospital
4302,"Mark W. Dickinson, MD, MPH","Internal Medicine, Pediatrics",Massachusetts General Hospital
4303,"Kyle A Borque, MD",Orthopedic Surgery,Brigham and Women's HospitalMassachusetts General Hospital
4304,"Elizabeth C. TePas, MD","Allergy and Immunology, Pediatric Allergy and Immunology",Massachusetts General Hospital
4305,"Michael Reinhorn, MD",General Surgery,Newton-Wellesley Hospital
4306,"Jennifer Kasper, MD, MPH",Pediatrics,Massachusetts General Hospital
4307,"Dominick Garibaldi, DPM",Podiatry,PCPO - Other Practices
4308,"Grace Huang, MD","Endocrinology, Internal Medicine",Brigham and Women's Hospital
4309,"Rafael Vazquez, MD",Anesthesiology,Massachusetts General Hospital
4310,"Kathryn A. Ryan, MD",Otolaryngology,Massachusetts General Hospital
4311,"Boyd Taylor Thompson, MD",Pulmonary Critical Care,Massachusetts General Hospital
4312,"Umar Mahmood, MD, PhD","Diagnostic Radiology, Nuclear Medicine",Massachusetts General Hospital
4313,"Arthur A Giuliano, MD",Pediatrics,PCPO - Affiliated Pediatric Practices
4314,"Maria V Copello, MD",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4315,"Megan M Rybarczyk, MD",Emergency Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4316,"Michael Joseph Michotek, MD",Internal Medicine,Martha's Vineyard Hospital
4317,"Gregory A. Acampora, MD",Psychiatry,Massachusetts General Hospital
4318,"Sarah L Shulman, MD",Neonatology,Brigham and Women's Hospital
4319,"Dean M. Cestari, MD",Neuro-Ophthalmology,Massachusetts General Hospital
4320,"Ronald P McCaffrey, MD","Hematology, Medical Oncology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
4321,"Haytham M A Kaafarani, MD, MPH",General Surgery,Massachusetts General Hospital
4322,"Jill A Smith, MD",Ophthalmology,Newton-Wellesley Hospital
4323,"Alexander Kopp, MD",Gastroenterology,Newton-Wellesley Hospital
4324,"Jerrold R Turner, MD, PhD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's Hospital
4325,"Michael Hyosang Cho, MD, MPH","Pulmonary Critical Care, Pulmonology",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
